"PID","ID","CID","Title","Definition","Includes","Excludes","Examples"
"1","","","Employment and related activities","Refers to employment, defined as activities to produce goods or provide services for pay or profit and to other activities directly related to employment.– 'For pay or profit' refers to work done as part of a transaction in exchange for remuneration payable in the form of wages or salaries for time worked or work done, or in the form of profits derived from the goods and services produced through market transactions, specified in the most recent international statistical standards concerning employment–related income.– (a) The remuneration may be in cash or in kind, whether actually received or not, and may also comprise additional components of cash or in–kind income.– (b) The remuneration may be payable directly to the person performing the work or indirectly to a household or family member.(Source: 19th ICLS paragraphs 7b and 27 and 28)– Related activities are travelling and commuting for employment, breaks during working time, training and studies in relation to employment, seeking employment, and other related activities outside working time.– Activities in divisions 11, 12 and 13 equate the time spent carrying out the tasks and duties of a job, and defined as to 'direct  hours' in  paragraph 11.(2)(a) of the Resolution concerning the measurement of working time adopted by the 18th International Conference of Labour Statisticians (2008).","– 11 Employment in corporations, government and non-profit institutions– 12 Employment in household enterprises to produce goods– 13 Employment in households and household enterprises to provide services– 14 Ancillary activities and breaks related to employment– 15 Training and studies in relation to employment– 16 Seeking employment– 17 Setting up a business– 18 Travelling and commuting for employment– Activities in all branches of economic activities in both self-employment and paid employment","– 2 Production of goods for own final use– 3 Unpaid domestic services for household and family members– 4 Unpaid caregiving services for household and family members– 5 Unpaid volunteer, trainee and other unpaid work (including internships)",""
"1","11","","Employment in corporations, government and non-profit institutions","See Group 110","","",""
"1","11","110","Employment in corporations, government and non-profit institutions","Refers to the time spent on direct activities to produce goods or provide services for pay or profit in all jobs in corporations, government and non–profit institutions serving households (NPISHs).– Corporations, government and non–profit institutions are defined as in the SNA. These are legal entities created for purposes of production, mainly corporations and non–profit institutions serving households (NPISHs), or entities created by political processes, specifically government units.– Corporations are institutional units that are principally engaged in the production of market goods and services.– Government consists of institutional units that, in addition to fulfilling their political responsibilities and their role of economic regulation, produce services (and possibly goods) for individual or collective consumption mainly on a non–market basis and redistribute income and wealth.– Non–profit institutions serving households (NPISHs) are legal entities that are principally engaged in the production of non–market services for households or the community at large and whose main resources are voluntary contributions. (Source: SNA 2008 para. 2.17)","– Activities to produce goods or provide services for pay or profit in all jobs in corporations, government and non–profit institutions serving households (NPISHs). – Activities to produce goods or provide services in cooperatives, small producer's companies and microenterprises, etc. which are “incorporated enterprises”.– Probation or probationary period given to new employees. – Working overtime. – Work brought home.","– 12 Employment in household enterprises to produce goods– 13 Employment in households and household enterprises to provide services– 14 Ancillary activities and breaks related to employment– 15 Training and studies in relation to employment– 16 Seeking employment– 17 Setting up a business– 18 Travelling and commuting for employment","– Business meeting during lunch break– Meeting with a Business partner after working hours– Working lunch with colleagues– Conference call related to employment taken at home– Student's work or contractual work, when performed for pay or profit– Accident at work– Employee working from home for a corporation– Produced goods in factory as employee– Produced milk and milk products in cooperative as employee"
"1","12","","Employment in household enterprises to produce goods","Refers to the time spent on direct activities to produce goods for pay or profit in household unincorporated market enterprises.– Household unincorporated market enterprises are created for the purpose of producing goods or services for sale or barter on the market. They can be engaged in virtually any kind of productive activity: agriculture, mining, manufacturing, construction (12 Employment in household enterprises to produce goods), retail distribution or the production of other kinds of services (13 Employment in households and household enterprises providing services). They can range from single persons working as street traders or shoe cleaners with virtually no capital or premises of their own through to large manufacturing, construction or service enterprises with many employees. (Source: SNA 2008 para. 4.155)– Household unincorporated market enterprises also include unincorporated partnerships that are engaged in producing goods or services for sale or barter on the market. The partners may belong to different households. (Source: SNA 2008 para. 4.156)Considered in this Division are persons who work for pay or profit payable to the household or family:(i) in market units operated by a family member living in the same or in another household; or(ii) performing tasks or duties of an employee job held by a family member living in the same or in another household(Source: 19th ICLS para. 30f)– This division only covers the production of goods for the market.– This division refers to the activity undertaken by the respondent over a particular period of time, which might differ from the primary activity of the establishment where he or she works.","– All activities undertaken in household enterprises to produce goods mainly intended for the market, such as:– 121 Growing of crops for the market in household enterprises– 122 Raising animals for the market in household enterprises– 123 Forestry and logging for the market in household enterprises– 124 Fishing for the market in household enterprises– 125 Aquaculture for the market in household enterprises– 126 Mining and quarrying for the market in household enterprises– 127 Making and processing goods for the market in household enterprises– 128 Construction activities for the market in household enterprises– 129 Other activities related to employment in household enterprises to produce goods","– 11 Employment in corporations, government and non-profit institutions– 13 Employment in households and household enterprises to provide services– 14 Ancillary activities and breaks related to employment– 15 Training and studies in relation to employment– 16 Seeking employment– 17 Setting up a business– 18 Travelling and commuting for employment– 2 Production of goods for own final use",""
"1","12","121","Growing of crops for the market in household enterprises","Refers to activities to produce (growing and harvesting) crop products mainly intended for the market in all jobs in household enterprises. This group also considers service activities incidental to growing of crops, such as support activities to agriculture and post–harvest crop activities, such as preparation of field, trimming trees, harvesting, preparation of crops for primary markets (cleaning, trimming, grading, disinfecting), etc.Considered farm, garden, kitchen or backyard gardening.– This group refers to the activity undertaken by the respondent over a particular period of time, which might differ from the primary activity of the establishment where he or she works.– (Activities performed in relation to economic activities described under ISIC rev. 4 Section A, Division 01, Groups 011–013 and Classes 0161, 0163 and 0164)","– Growing of cereal and other crops, vegetables, fruit, nuts, spice crops, flowers, mushrooms and berries, and other horticultural specialties etc. (including farm, garden, kitchen or backyard gardening); processing for storage/use (for pay or profit)– Land preparation including ploughing, use of kodale, harrowing, beating clods, slash and burn (for pay or profit)– Sowing and planting operations including seedbed preparation, sowing, transplanting (for pay or profit)– Collecting and preparing organic fertilizer, carrying and spreading organic/chemical fertilizer (for pay or profit)– Field/garden upkeep including weeding, watering, trimming (for pay or profit)– Harvesting including bundling, threshing and cleaning of grain, drying crop residue (for pay or profit)– Post harvest activities including drying, seed selection, bagging and storage (for pay or profit)– Other agricultural service activities including routine repair of irrigation channels, guarding/protection of harvest, maintenance and routine repair of tools and equipment (for pay or profit)– Other specified activities related to growing of crops (for pay or profit)– This group includes growing of Christmas trees and the operations of tree nurseries (for pay or profit)","– Any subsequent processing of the agricultural products (127 or 22), beyond that needed to prepare them for the primary markets. However, the preparation of products for the primary markets is included here. – Field construction (e.g. agricultural land terracing, drainage, preparing rice paddies etc.) (128 or 23)– 211 Growing crops and kitchen gardening, for own final use– 221 Making, processing food products, beverages and tobacco for own final use– Providing agronomist services (133)– Providing landscape architecture services (133)– Attending agricultural show/fair (811)– Preserving fruit and vegetables, including dehydration by artificial means for the market (127)","– Watered fields (for pay or profit)– Collected apples for sale– Prepared fields (for pay or profit)– Treated crops (for pay or profit)– Sprayed crops (including by air) (for pay or profit)– Trimmed fruit trees and vines (for pay or profit)– Transplanted rice (for pay or profit)– Thinned beets (for pay or profit)– Harvested (for pay or profit)– Worked in farm (for pay or profit)– Growing taro/kava (for pay or profit)"
"1","12","122","Raising animals for the market in household enterprises","Refers to activities to raise animals and produce animal products mainly intended for the market in household enterprises. This group also considers service activities incidental to raising animals and producing animal products, such as support activities for animal production such as activities to promote propagation, growth and output of animals, as well as hunting, trapping and related activities to obtain meat, hair, skin or other products for the market.– Animal production is defined as raising (farming) and breeding of all animals, except aquatic animals, such as raising of cattle and buffaloes; raising of horses and other equines; raising of camels and camelids; raising of sheep and goats; raising of swine/pigs; raising of poultry; etc.– This group refers to the activity undertaken by the respondent over a particular period of time, which might differ from the primary activity of the establishment where he or she works.– (Activities performed in relation to economic activities described under ISIC rev. 4 Section A, Division 01, Groups 014 and 017, and Class 0162)","– Farming/raising of domestic and semi–domesticated animals (for pay or profit)– Milking/production of raw milk (for pay or profit)– Shearing; production of fur skins, reptile and bird skins from ranching (for pay or profit)– Production of live animal products such as eggs, honey (for pay or profit)– Operating poultry hatcheries (for pay or profit)– Hunting and trapping animals  (for pay or profit)– Fodder collection; preparation of feed; feeding, watering; grazing (for pay or profit)– Grooming, shoeing, cleaning (for pay or profit)– Washing shed, coop cleaning (for pay or profit)– Work related to breeding; hatching (for pay or profit)– Collecting, storing, grading of eggs (for pay or profit)– Shearing, producing hides and skins from ranching (for pay or profit)– Dung–gathering and making dung cakes (for pay or profit)– Other specified activities related to animal farming, production of animal products, animal husbandry services (for pay or profit)","– 127 Making and processing goods for the market in household enterprises– 212 Farming of animals and production of animal products, for own final use– 213 Hunting, trapping and production of animal skins, for own final use– 221 Making, processing food products, beverages and tobacco for own final use– Processing of milk (127 or 221)– Production of aquatic animals (124, 125 or 216, 217)","– Tested herd (collected samples to measure yield and composition of milk production) (for pay or profit)– Drove cattle (for pay or profit)– Agisted cattle (caring for and feeding cattle for payment)– Caponized poultry (for pay or profit)– Cleaned coop (for pay or profit)– Artificial insemination of cow (for pay or profit)– Milked cows (for pay or profit)– Sheared sheep (for pay or profit)– Gathered and made dung cakes (for pay or profit)"
"1","12","123","Forestry and logging for the market in household enterprises","Refers to the activities to produce roundwood as well as to extract and gather wild growing non–wood forest products mainly intended for the market in household enterprises. Besides the production of timber, forestry activities result in products that undergo little processing, such as fire wood, charcoal, wood chips and roundwood used in an unprocessed form (e.g. pit–props, pulpwood etc.). These activities can be carried out in natural or planted forests. This group also considers service activities incidental to forestry and logging.– This group refers to the activity undertaken by the respondent over a particular period of time, which might differ from the primary activity of the establishment where he or she works.– (Activities performed in relation to economic activities described under ISIC rev. 4 Section A, Division 02 Forestry and logging)","– Silviculture and other forestry activities: growing of standing timber (planting, replanting, transplanting, thinning and conserving of forests and timber tracts), growing of coppice, pulpwood and fire wood, operation of forest tree nurseries  (for pay or profit)– Logging: production of roundwood for forest–based manufacturing industries, production of roundwood used in an unprocessed form such as pit–props, fence posts and utility poles, gathering and production of fire wood for the market, production of charcoal in the forest (using traditional methods) (for pay or profit)– Gathering of non–wood forest products and other plants growing in the wild: mushrooms, truffles, berries, nuts, balata and other rubber–like gums, cork, lac and resins, balsams, vegetable hair, eelgrass, acorns, horse chestnuts, mosses and lichens, etc. (for pay or profit)– Support services to forestry to carry out the operation: forestry inventories, forest management consulting services, timber evaluation, forest fire fighting and protection, forest pest control, transport of logs within the forest (for pay or profit)","– 214 Forestry and logging, for own final use– 215 Gathering wild products, for own final use– 241 Gathering firewood and other natural products used as fuel for own final use– Growing of Christmas trees for the market (121)– Operation of tree nurseries (121 or 211)– Growing (farming) mushrooms or truffles, growing (farming) of berries or nuts (121)","Examples: – Cut wood (for pay or profit)– Located trees to be felled (for pay or profit)– Helped reforestation in an area, growing forest trees, replanting forest trees (for pay or profit)"
"1","12","124","Fishing for the market in household enterprises","Refers to activities mainly intended for the market in household enterprises to capture fishery, i.e. the hunting, collecting and gathering activities directed at removing or collecting live wild aquatic organisms (predominantly fish, molluscs and crustaceans) including plants from the oceanic, coastal or inland waters for human consumption and other purposes by hand or more usually by various types of fishing gear such as nets, lines and stationary traps. Such activities can be conducted on the intertidal shoreline (e.g. collection of molluscs such as mussels and oysters) or shore based netting, or from home–made dugouts or more commonly using commercially made boats in inshore, coastal waters or offshore waters.– This group refers to the activity undertaken by the respondent over a particular period of time, which might differ from the primary activity of the establishment where he or she works.– (Activities performed in relation to economic activities described under ISIC rev. 4 Section A, Division 03, Group 031 Fishing)","– Marine fishing and freshwater fishing (for pay or profit)– Catching fish and other forms of aquatic life and products (for pay or profit)– Gathering marine materials such as natural pearls, sponges, corals, algae, seashells (for pay or profit)– Other specified activities related to fishing (for pay or profit)","– 122 Raising animals for the market in household enterprises– 125 Aquaculture for the market in household enterprises– 127 Making and processing goods for the market in household enterprises– 213 Hunting, trapping and production of animal skins, for own final use– 216 Fishing, for own final use– 217 Aquaculture, for own final use– 221 Making, processing food products, beverages and tobacco for own final use– Capturing of marine mammals, except whales, e.g. walruses, seals (122 or 213)– Processing of fish, crustaceans and molluscs on factory ships or in factories ashore (127)– Repair, care and maintenance of fishing boats and equipment (132)– Building and repairing of ships and boats (127 or 22)– Processing of fish, crustaceans or molluscs (127 or 227)","– Fishing on a commercial basis in ocean and coastal waters (for pay or profit)– Collected marine crustaceans and molluscs (for pay or profit)– Collected marine aquatic animals: turtles, sea squirts, tunicates, sea urchins etc. (for pay or profit)"
"1","12","125","Aquaculture for the market in household enterprises","Refers to activities mainly intended for the market in household enterprises for the production process involving the culturing or farming (including harvesting) of aquatic organisms (fish, molluscs, crustaceans, plants, crocodiles, alligators and amphibians) using techniques designed to increase the production of the organisms in question beyond the natural capacity of the environment (for example regular stocking, feeding and protection from predators). Culturing/farming refers to the rearing up to their juvenile and/or adult phase under captive conditions of the above organisms. – Aquaculture or aquafarming– This group refers to the activity undertaken by the respondent over a particular period of time, which might differ from the primary activity of the establishment where he or she works.– (Activities performed in relation to economic activities described under ISIC rev. 4 Section A, Division 03, Group 032 Aquaculture)","– Fish farming (for pay or profit)– Marine aquaculture and freshwater aquaculture (for pay or profit)– Fish/aquatic farming: Breeding, rearing (for pay or profit)– Fish/aquatic farming: Cleaning beds, feeding (for pay or profit)– Other specified activities related to fish/aquatic farming  (for pay or profit)","– 122 Raising animals for the market in household enterprises– 124 Fishing for the market in household enterprises– 127 Making and processing goods for the market in household enterprises– 213 Hunting, trapping and production of animal skins, for own final use– 216 Fishing, for own final use– 217 Aquaculture, for own final use– 221 Making, processing food products, beverages and tobacco for own final use– Capturing of marine mammals, except whales, e.g. walruses, seals (122 or 213)– Processing of fish, crustaceans and molluscs on factory ships or in factories ashore (127)– Repair, care and maintenance of fishing boats and equipment (132)– Building and repairing of ships and boats (127 or 22)– Processing of fish, crustaceans or molluscs (127 or 227)","– Checked fish hatcheries (for pay or profit)– Checked marine worm farm (for pay or profit)– Farmed frogs (for pay or profit)"
"1","12","126","Mining and quarrying for the market in household enterprises","Refers to activities mainly intended for the market in household enterprises to extract minerals occurring naturally as mainly solids (coal and ores). Extraction can be achieved by different methods such as underground or surface mining, well operation, seabed mining etc. This group also considers supplementary activities aimed at preparing the crude materials for marketing, for example, crushing, grinding, cleaning, drying, sorting, concentrating ores and agglomeration of solid fuels. These operations are often carried out by the units that extracted the resource and/or others located nearby.– This group refers to the activity undertaken by the respondent over a particular period of time, which might differ from the primary activity of the establishment where he or she works.– (Activities performed in relation to economic activities described under ISIC rev. 4 Section B Mining and quarrying)","– Mining/extraction of salt (for pay or profit)– Drilling well, boring holes etc. (for pay or profit)– Quarrying of stone slabs (for pay or profit)– Crushing and breaking of stones (for pay or profit)– Digging out clay, gravel and sand (for pay or profit)– Extraction of peat (for pay or profit)– Gold panning, mining gems etc.  (for pay or profit)– Transporting, storing and stocking (for pay or profit)– Other specified mining and quarrying activities (for pay or profit)","– 218 Mining and quarrying, for own final use– Making or processing metals for the market (127)","– Collected unprocessed salt for sale– Digging/shoring up opal mine, 'noodling' (searching through discarded mine tailings for opals) (for pay or profit)– Extracted peat (for pay or profit)"
